company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id
Green Start hiring for leading NBFC,UG: Any Graduate - Any Specialization,1 - 6 yrs,Banking / Financial Services / Broking,"Job Description ? Send me Jobs like this looking for seasoned Sales and RM-lap/ml//Pl/bl/cv professionals to be a part of a dynamic, motivated and highly productive frontline sales team. Visit schools and other educational institutions and achieve business targets of loans disbursed Salary:INR 1,75,000 - 3,00,000 P.A Industry: Banking / Financial Services / Broking Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales Executive/Officer Keyskills Sales Relationship Management Dynamic lap mortgage loans business loans sme pl cv stpl personal loan high ticket Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization Company Profile: Green Start leading NBFC Bangalore based non-banking finance company (NBFC). Varthana stands for transformation - transformation of the country's affordable private education sector. Download PPT Photo 1 ? View Contact Details",1.31E+11,"Bengaluru, Tirupati, Visakhapatnam","Urgent Opening -rm-banglore, Vijayawada, Srikakulam, Chitoor",,"1,75,000 - 3,00,000 P.A",2016-10-13 16:20:56 +0000,,Sales,a3c3b933f8e5970e38e9bf5c4b6629f0
Human Capital Resource,UG: Any Graduate PG:Any Postgraduate,0 - 1 yrs,Internet / Ecommerce,"Job Description ? Send me Jobs like this Should have exp in telesales, good communication and 0-1 yr of exp . Shift timing :9-6 mon to sat Interested Candidates please send Cv's to k.priyanka@hcrconsulting.in Salary:INR 50,000 - 1,50,000 P.A Industry: Internet / Ecommerce Functional Area: Sales , Retail , Business Development Role Category:Sales Support Role:Telesales/Telemarketing Executive/Officer Keyskills Telesales telemarketing telecaller telesales telecaller female tele marketing executive telesales telemarketing tele Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate PG:Any Postgraduate Company Profile: Human Capital Resource One of our clients in HSR Layout, which provides home rental solutions Download PPT Photo 1 ? View Contact Details",1.31E+11,Bengaluru,Telesales Executive,,"50,000 - 1,50,000 P.A",2016-10-13 16:20:56 +0000,,Sales,893a5e8b989c5da97cc7a4ebb19c18f0
Careernet Technologies Pvt Ltd hiring for A US based Startup- Telecom domain or Mobile Domain,UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization Doctorate:Doctorate Not Required,3 - 6 yrs,IT-Software / Software Services,"Job Description ? Send me Jobs like this Position Title: Senior QA Engineer Reports to: Director of Engineering Roles and Responsibilities Design, Develop, Execute and Automate test cases to ensure the quality of the product Review product requirements. Work with PM/development team to get a clear understanding of requirements. Define test strategy, plan and document it. Get it reviewed by all stakeholders. Define framework/tools to be used for test automation. Develop test cases for assigned modules and review it with team members. Review test cases developed by junior team members. Identify test cases for basic acceptance test; smoke tests and regression coverage for any code change during sprint. Executes test plans, logs defects to an agreed upon severity rating and makes recommendations to address defects to product team Work with team to automate significant percentage of test cases and integrate it with build system for continuous integration. Responsible for testing Non Functional requirements like performance, adaptability, interoperability. Prepare and submit test report. Ensure product quality through continuous testing and refinement of the code base Make sure there is continued effort to improve test coverage, process to achieve higher quality. Work closely with Product Development, Product Management and the Customer Support teams to insure product quality and customer satisfaction Minimum Qualifications: BE/B Tech in Computer Science or Equivalent Demonstrated expertise on at-least one automation framework such as Selenium Knowledge of Jira or any bug tracking tool Must possess good analytical and problem solving skills Expertise in scripting and programming languages (Python, Java, Shell) Proficient in Linux Good communication skills Experience working with geographically distributed development and quality engineering teams Salary:INR 9,00,000 - 14,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Testing Engineer Keyskills Automation QA Engineer Python Shell Linux Selenium Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization Doctorate:Doctorate Not Required Company Profile: Careernet Technologies Pvt Ltd A US based Startup- Telecom domain or Mobile Domain It is a mobile technology company offering a global mobile data service. By means of its app and a GigSky SIM card, or an Apple SIM, it enables users to connect to a local data network while overseas. It also offers services for SMB and enterprise customers, and provides mobile data for airline EFB solutions. Download PPT Photo 1 ? View Contact Details",1.21E+11,Bengaluru,"Senio QA with a Product Based Startup, Bangalore",,"9,00,000 - 14,00,000 P.A",2016-10-13 16:20:56 +0000,,IT Software - Application Programming,3382a9c15d825cb9382dc5f3a1f99ce3
Oakwood Premier Prestige Bangalore,UG: BHM - Hotel Management PG:Post Graduation Not Required,4 - 8 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description ? Send me Jobs like this Ensures that all areas under his/her responsibility are running efficiently and in accordance with the property's policies and procedures and that customer satisfaction is maximized at all times. Salary: Not Disclosed by Recruiter Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Hotels , Restaurants Role Category:Front Office/Customer Care Role:Front Office/Guest Relations Executive/Manager Keyskills Duty manager with minimum 5 years of experience in reputed hotels Desired Candidate Profile Please refer to the Job description above Education- UG: BHM - Hotel Management PG:Post Graduation Not Required Company Profile: Oakwood Premier Prestige Bangalore Oakwood Premier Prestige 5* apartment hotel located in UB city Bangalore Download PPT Photo 1 ? View Contact Details",30916004016,Bengaluru,Duty Manager,2,Not Disclosed by Recruiter,2016-10-13 16:20:56 +0000,,Hotels,5322bd0275a497e51dbf614a9e4fa6d4
The HRism hiring for US based Product Client,UG: Any Graduate - Any Specialization PG:Any Postgraduate,3 - 7 yrs,IT-Software / Software Services,"Job Description ? Send me Jobs like this Candidate must be having minimum 2+ years of sound experience in Selenium Web Driver plus holding excellent experience in API Testing along with Automation. Job Role Strong development background on large projects on collaborative teams. Experience with Python,Perl, Ruby and Redis. Proven coding skills in Python,Java, C# or C++ on Unix/Linux platforms. Assist the sales and strategy team in acquiring the proper tags and assets. Experience writing or enhancing test harness/framework is desired. Database knowledge highly desired. Skills Required 3 to 7 years overall QA/development experience. Bachelor's degree in Computer Science, Computer Engineering or equivalent. Extensive experience with SQL scripting. Strong problem solving and analytical skills. Strong verbal and written communication skills. Demonstrates skill and passion for operational excellence. Excellent documentation skills. Personality You want to work in a small, agile team. You mentor other developers when needed. You work hard and dont need much oversight. You like variety in your projects. You want to be proud of what you do at your job Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - QA & Testing Role Category:Programming & Design Role:Testing Engineer Keyskills SQL Scripting Java Automation Testing Selenium Database API Testing Selenium Web Driver Automation Test Engineer White Box Testing Automation test analyst automation qa engineer automation qa analyst Desired Candidate Profile 3 to 7 years overall QA/development experience.Minimum 2+ years of sound experience in Automation Testing along with Selenium and should be good with API Testing.Bachelor's degree in Computer Science, Computer Engineering or equivalent.Extensive experience with SQL scripting.Strong problem solving and analytical skills.Strong verbal and written communication skills.Demonstrates skill and passion for operational excellence.Excellent documentation skills. Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Company Profile: The HRism US based Product Client The HRism is an IT Executive Search & HR Consulting firm based at Ahmedabad. About Client: Our client is US based Product Company who works on Advertising Domain, for more information about our client please feel free to ask. Download PPT Photo 1 ? View Contact Details",1.31E+11,"Ahmedabad, Bengaluru, Pune",Test Automation Engineer ( Selenium + API Testing) @ Ahmedabad,2,Not Disclosed by Recruiter,2016-10-13 16:20:56 +0000,,IT Software - QA & Testing,fb748fb77d37c9cdd15daaa68f77f95a
"iPlanner, Inc. hiring for Product based Company",,5 - 10 yrs,IT-Software / Software Services,"Job Description ? Send me Jobs like this Greetings!! We have an immediate opening for Oracle DBA Professionals - Bangalore Location Job Description : Skill : Oracle DBA Exp : 5+Years Mandatory Skills : 12C, RAC,Goldengate If interested send your Profile to renugat@iplannerinc.com Salary:INR 5,00,000 - 12,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Admin/Maintenance/Security/Datawarehousing Role:DBA Keyskills Oracle DBA Golden gate OracleDBA Oracle12C Oracle 12C Oracle Database Administration Oracle Database Admin Oracle Database Administrator Desired Candidate Profile Please refer to the Job description above Company Profile: iPlanner, Inc. Product based Company Headquartered in Texas,H1B Visa Sponsors Download PPT Photo 1 ? View Contact Details",1.31E+11,Bengaluru,Good Opportunity for Oracle DBA - Bangalore Location,,"5,00,000 - 12,00,000 P.A",2016-10-13 16:20:56 +0000,,IT Software - Application Programming,1de11091329ac2062a86df6a8aad6657
Global Connections,"UG: Any Graduate - Any Specialization, B.Sc - Any Specialization, Maths, Physics, B.Com - Commerce PG:MCA - Computers, MBA/PGDM - Any Specialization, Hospitality Management, Advertising/Mass Communication, HR/Industrial Relations Doctorate:Doctorate Not Required",5 - 10 yrs,BPO / Call Centre / ITES,"Job Description ? Send me Jobs like this Work & Settle in Canada (Express Entry )& Australia Attend personal Counselling on 15th Oct 2016 AT Hyderabad at Global Connections.#402, Viswa Central Plaza, Above Syndicate Bank,Lane Beside VIP Luggage Ameerpet, call 9246524047 Salary: Not Disclosed by Recruiter Industry: BPO / Call Centre / ITES Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:HR Manager Keyskills Hr Consulting Human Resource Planning hr executive planning Talent Management recruitment hiring performance management employee engagement employee relations industrial relations Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization, B.Sc - Any Specialization, Maths, Physics, B.Com - Commerce PG:MCA - Computers, MBA/PGDM - Any Specialization, Hospitality Management, Advertising/Mass Communication, HR/Industrial Relations Doctorate:Doctorate Not Required Company Profile: Global Connections Global Connexions a synonymous name in the immigration consulting business. We provide complete resettlement Solutions. We have the highest visa approval rate. We always aim at providing flawless immigration application service. Download PPT Photo 1 ? View Contact Details",70916003296,"Chennai, Mumbai, Bengaluru, Pune, Hyderabad, Canada, Australia",HR Managers in Demand in Canada & Australia,20,Not Disclosed by Recruiter,2016-10-13 16:20:56 +0000,,HR,474bf0cd4f8c7ebbfd6aae32b38c51a5
Accenture,UG: Any Graduate - Any Specialization PG:Any Postgraduate,1 - 5 yrs,IT-Software / Software Services,"Job Description ? Send me Jobs like this Position Objective: The role is responsible for understanding client requirements and knowledge of voice and/ or non voice quality audits and related reporting. Responsibilities Knowledge of client's quality expectations Knowledge of clients quality scoring system Competent in all minimum skills required by Customer Service Associates Knowledge of quality related reporting Ability to use monitoring tools Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Quality Role:Quality Assurance/Quality Control Executive Keyskills customer service call quality quality audits monitoring tools non voice system requirements skills responsible Desired Candidate Profile ? Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Company Profile: Accenture Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functionsunderpinned by the worlds largest delivery networkAccenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With approximately 373,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com Download PPT Photo 1 ? View Contact Details",1.21E+11,Bengaluru,Call Quality,,Not Disclosed by Recruiter,2016-10-13 16:20:56 +0000,,ITES,3f589ec56032278137b20c372444160a
Biocon Limited,"UG: B.Tech/B.E. - Bio-Chemistry/Bio-Technology, Biomedical, Chemical, B.Pharma - Pharmacy PG:MS/M.Sc(Science) - Bio-Chemistry, Biology, Chemistry, Microbiology, MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required",5 - 10 yrs,Pharma / Biotech / Clinical Research,"Job Description ? Send me Jobs like this 1. Ensuring uninterrupted supply of raw materials and other inputs for maintaining continuity in production. 2.Creation of purchase orders in SAP. Procurement for Imported/ Indigenous Raw Materials, Biologics material, Solvents & Packing Materials, Lab Chemicals as per purchase requisition and production plan shared by various user departments.? 3. Ensuring compliance to the corporate and procurement policies of the organization. Understanding guidelines and policies laid down by regulatory, taxation and commercial departments. Most importantly, Understanding of environmental laws and country specific regulations on procurement and transportation of Raw Materials, Chemicals and Hazardous Substances. 4. Managing vendor negotiations, creation of rate contracts, achieving price targets and maintaining standard pricing structure for Raw Material, Biology related material, Intermediates and other categories. 5.Timely delivery of materials as per agreed timelines / SLAs (Service Level Agreements). Achieving SLA rating of >98% for Raw Materials and Packing Materials. 6.New Vendor Development for cost reduction and de-risking of single source items. Sourcing of New Products/ Intermediates / APIs for Research & Development from domestic and overseas markets. 7.Coordinating with Production, Finance, QA (Quality Assurance),QC (Quality Control) and other functions to determine necessity of various procurement activities like vendor development, vendor evaluation, vendor audit etc. 8. Managing vendor relationship at global level. Active coordination with the vendors for cost effective supply of quality material within specific time period. 9.Coordinate with C&F (Clearing and Forwarding) Agents for on time clearance and transportation of material. 10. Gathering market intelligence on Raw Material and Packing Materials, Vendor evaluation, market analysis and bench marking data for pricing decisions. 11. Submission of monthly reports reflecting procurement health (SLA summary, vendor development, sourcing projects, spend analysis, top vendors, contract buying, savings against standard price etc) Salary:INR 4,00,000 - 8,00,000 P.A Industry: Pharma / Biotech / Clinical Research Functional Area: Supply Chain , Logistics , Purchase , Materials Role Category:Purchase/Material Management Role:Purchase/Vendor Development Manager Keyskills QA Quality Control Quality Assurance Procurement Purchase Requisition QC Vendor Audit Sourcing Production Planning Raw Material Enzymes Desired Candidate Profile 1. Candidate should have a work experience in API / Formulations / Injectable / Biologics Industry.2. Preferably 2-5 years of experience in Enzyme sourcing for Biopharma Industry. ?2. Ability of Understand the Regulatory Environment for Generics Business3. Good organizational skills, planning and the ability to multitask is a plus and experience in working with diverse cultures in a dynamic, fast-paced environment. Education- UG: B.Tech/B.E. - Bio-Chemistry/Bio-Technology, Biomedical, Chemical, B.Pharma - Pharmacy PG:MS/M.Sc(Science) - Bio-Chemistry, Biology, Chemistry, Microbiology, MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required Company Profile: Biocon Limited Biocon is an integrated biotechnology enterprise focused on the development of biopharmaceuticals. With successful initiatives in drug discovery and development, bioprocessing, manufacturing and global marketing, Biocon delivers products and solutions to partners and customers in over 75 countries. Biocon has the defining science, world class capabilities and a focused vision to deliver the promise of innovative and affordable medicine to a waiting world. Today, Biocon together with group companies employs more than 5000 employees with approxmimately Rs 2500 crore turnover and is expected to grow further during the current financial year . Download PPT Photo 1 ? View Contact Details",1.51E+11,Bengaluru,Assistant/ Deputy Manager Purchase,1,"4,00,000 - 8,00,000 P.A",2016-10-13 16:20:56 +0000,,Supply Chain,4e9af5dc247f78cc118bf346e870a466
eGov Tech Labs,UG: B.Tech/B.E. - Computers PG:MCA - Computers Doctorate:Doctorate Not Required,4 - 6 yrs,IT-Software / Software Services,"Job Description ? Send me Jobs like this IBM MOBILE FIRST DEVELOPER WITH IOS SKILLS Profile: IBM MFP Platform /Work light, MVC Patterns, Adapters, SQL Adapters, HTTP Adapters, IBM WAS, DB2/MYSQL, Restful Services, JSON (Native Android/IOS, Hybrid HTML5) At least 4 years of working Knowledge IBM MobileFirst (previously known as Work light). Develop Application Architecture, User Interface Design Strong skill in MVC Pattern At least 2 years of Hands-on Angular + Ionic - Mobile App development (Native Android/IOS, Hybrid HTML5) Hands on Implementing the Work light API Package Program and consume web services foundations including Restful Services, JSON and related services Experience with IBM WAS, DB2/MySQL Understanding of SDLC and Agile methodologies Experience in Building and managing of Studio, Server, Runtime Components, Console Experience in at least one J2EE frameworks. Migration from other containers to MobileFirst will be an added advantage Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Mobile Role Category:Programming & Design Role:Software Developer Keyskills SDLC J2EE Agile DB2 MySQL web services Hybrid HTML5 Android IOS mobile developer mobile Desired Candidate Profile Qualification - BE/MCA/Engineering in Computer Science or equivalent Education- UG: B.Tech/B.E. - Computers PG:MCA - Computers Doctorate:Doctorate Not Required Company Profile: eGov Tech Labs eGov Tech Labs is the most advanced technology lab in e-governance, nestled in the heart of Bangalore. Our team of engineering professionals builds the infrastructure and software that improves services for citizens, businesses and visitors in the Emirate of Ras Al Khaimah (UAE). Download PPT Photo 1 ? View Contact Details",71016901832,Bengaluru,IBM Mobile First Developer,,Not Disclosed by Recruiter,2016-10-13 16:20:56 +0000,,IT Software - Mobile,b9ad611253904bd374d9686a229be68e
Strivex Consulting Pvt Ltd,"UG: B.Tech/B.E. - Computers, Electronics/Telecommunication PG:M.Tech - Computers, Electronics/Telecommunication Doctorate:Doctorate Not Required",4 - 9 yrs,IT-Software / Software Services,"Job Description ? Send me Jobs like this Notice Period : Max 45 days Education : M.Tech/ M.E / B.Tech / B.E degree in Computer Science, Electronics, or Communications Required Skills 1) 2+ years experience in WLAN Host driver, application and 1+ mandatory experience in Linux Development. 2) Hands on experience using Protocol analyzers (Omnipeek, wireshark), debuggers(JTAG, GDB), troubleshooting system level issues. 3) Exposure developing 802.1x authentication and security protocols, Embedded S/W development tools(Compilers,Linkers). 4) C- programming expertise and solid knowledge of IEEE 802.11 protocol specification. 5) Driver Development experience for Host I/O Interfaces like USB/SDIO/PCIE. Minimum Qualifications: 2+ years of hands-on system software development experience with 1+ years spent on Linux kernel development, specifically networking subsystem Excellent C programming skills - Solid knowledge of IEEE 802.11 protocol specification Good hands-on experience in Linux IP Stack/ Network drivers development, QoS, Packet Scheduling and Throughput optimization - Good experience in driver development for Host IO interfaces like USB / SDIO / PCIE Conversant with protocol analysers - OmniPeek, Wireshark - Excellent trouble shooting and analytical skills that can be applied to resolve system issues Preferred Qualifications: Knowledge of scripting languages like Python/Perl Exposure to 802.1x authentication protocols / Public Key Infrastructure Conversant with development tools (compilers, linkers, etc.) and debuggers such as JTAG, GDB etc., Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Network Administration , Security Role Category:Programming & Design Role:Software Developer Keyskills C Linux Kernel 802.11 Perl Python Programming GDB IP Networking System Software Development WLAN Device Driver Development Linux Development troubleshooting trouble shooting Desired Candidate Profile ? Education- UG: B.Tech/B.E. - Computers, Electronics/Telecommunication PG:M.Tech - Computers, Electronics/Telecommunication Doctorate:Doctorate Not Required Company Profile: Strivex Consulting Pvt Ltd leading client of Strivex Consulting Pvt Ltd Download PPT Photo 1 ? View Contact Details",81016900152,Bengaluru,WLAN Device Driver Development Engineer - Linux,,Not Disclosed by Recruiter,2016-10-13 16:20:56 +0000,,IT Software - Network Administration,15cc3fddf27b02c14ad4bc2c70dcd3b0
SLK Software Services Pvt. Ltd.,UG: B.Tech/B.E. - Computers PG:Post Graduation Not Required,3 - 5 yrs,IT-Software / Software Services,"Job Description ? Send me Jobs like this Job Purpose: - To develop / maintain a module as per the design - Detailed design or Impact Analysis of a module Principal Accountabilities: The person in this job is responsible for the following: Balanced Scorecard Perspective Primary Duties or Major Activities Delivery / Process 1. Understand the customer expectations and perform Detailed design 2. Understanding requirements of the modules/ components assigned in-line with the overall project scope. 3. Assisting Analyst & Designer in Module Analysis & Design. 4. Implementing/ developing the code as per design. 5. Adherence to coding standards and guidelines 6. Ensure on-time quality delivery of allocated tasks 7. Compliance to SLK policies and procedures like Timesheet/ Leaves management etc. 8. Assisting Analyst & Designer in preparation of Integration Test Plan 9. Providing support during integration testing, system testing 10. Resolving any defects reported by peer reviews, independent verification and validation and testing. 11. Peer review Finance 1. Quality of code as defined by the SLK Process and thus reduce re-work 2. Contribute to re-usable of code / components Customer 1. Participate in Customer Calls 2. Provide Status reports as per defined timelines People 1. Team Collaboration 2. Learning initiatives as per the plan 3. Guiding junior Developers and Developers in their role Parameters KRAs Customer 1. Attend Customer Calls 2. Provide Status Report Process 1. Quality of Detailed design and Code 2. Schedule adherence 3. Adherence to delivery Processes and associated tools 4. Adherence to organizational policies & processes like time sheets filling, attendance & leave, appraisal etc. Finance 1. Code Quality as defined by the SLK Process 2. Contribution to re-usable of code / components People 1. Understand Project Domain 2. Upgrade Personal skills and competency 3. Building Team Relationships 4. Attend & effectively utilize L&D Trainings. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills coordination development tools team building design coding visio proactive code process Desired Candidate Profile Educational qualifications and Experience Engineering Graduate / BSc in Computer Science / Information Science or Equivalent with 3 to 5 Yrs of IT experience in Development. Knowledge and skills Functional skills: - SDLC understanding - Engineering Concepts (Design and Programming) - Design concepts and associated tools - Programming languages and associated tools - Development process and associated tools - MS Office (word, Excel, Power point, visio, etc)skills Behavioural skills: Parameter Description Commitment & Integrity Committed/ dedicated to the job assigned Keeps personal interest and agenda out of business processes. Team work Makes realistic commitment, executes and delivers them through joint ownership of the group. Flexible to varying view points and personalities. Value addition by identifying issues and providing suggestions. Team building, Intergroup coordination and Conflict management. Learning & Development Works towards process betterment/ simplification, accepts mistakes and takes proactive measures to correct them. Ability to learn independently, research and find solutions to problems/ issues. Keeps abreast of new developments through efficient use of organization resources. Communication Hone oral & written English to communicate & present effectively to the point. Assertiveness. Results Orientation Continuously assess goals, improvises with least assistance and deliver consistent & excellent results. Taking Initiatives. Education- UG: B.Tech/B.E. - Computers PG:Post Graduation Not Required Company Profile: SLK Software Services Pvt. Ltd. The name 'SLK' in SLK Group is inspired by Mr. Shantanurao Laxmanrao Kirloskar. SLK was established in the year 2000, SLK Group consist of, SLK - Software, SLK - BPO. The overall People strength is around 5000+. Our People Practices fosters dynamic and collaborative work environment with a perfect mix of Team work, Support, rich culture and discipline. Our clientele includes some of the finest fortune 500 Corporations in USA and European Countries. We are specialized in providing a range of IT solutions and services by leveraging cutting edge technologies and industry best practices that deliver significant savings to our Fortune 500 customers. Our Quality Systems & processes are benchmarked against international standards and our Information Security and Management Systems are certified under ISO 27001:2005. Nurturing long-term partnerships has been the way of life at SLK and the company firmly believes that in the 'Power of Partnership' lies the ability to identify more opportunities, increase individual strengths, and intensify commitments. To know more about the company, please visit our company website www.slk-group.com Download PPT Photo 1 ? View Contact Details",1.21E+11,Bengaluru,Senior Developer-bi,,Not Disclosed by Recruiter,2016-10-13 16:20:56 +0000,,IT Software - Application Programming,0f469db6708503116bf996c325047bc1
Inspiration Manpower Consultancy Pvt. Ltd.,,0 - 5 yrs,BPO / Call Centre / ITES,"Job Description ? Send me Jobs like this Greetings From Inspiration Manpower! Mega job fair from 15th Oct to 22nd for top 22 Mnc's Hurry! Greetings from Inspiration Walk in to Inspiration to Avail this Opportunities WE HAVE AN EXCELLENT OPENING IN A BPO FOR VOICE PROCESS With Companies like, American Express: Customer Support Role, credit cards, Collections. JP Morgan: Financial Services Hsbc: Customer support, Account Opening Officer, Case manager, IBM India: IT Help desk, technical Support, Service desk, networking. Mphasis: Banking Process, Td /Indigo Banking. Accenture: Backend Hr, Telecom, finance & Accounts Omega Health Care: AR Caller, Medical billing. Quikr: Customer support, Sales, up selling. Microland: Enterprises Support, Active directory, troubleshooting, Technical Support. Altisource: Mortgage, Insurance, Collections. Ocwen: Mortgage, Us collections. Capgemini: Collections, Customer Support. Amazon: Seller Support, Customer support. Aditya Birla: Customer Support & Technical Support. Infinite: Customer Support & Technical Support. HP: Customer Support & Up selling. HPE: Technical support M Modal: Technical Support, Service Desk Analyst Jp Morgan: Investment Banking 24X7: Up selling, Customer Support, Collections. To Apply Call Poornima 7259027275?/ 7760984460 / 9900073503 / 7259027295 Salary:INR 2,00,000 - 5,50,000 P.A. Incentives & Joining bonus Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Csr Tsr Fresher Associate Sales Bpo Call centre Tse Voice process Customer Support Executive Finance Accounts Banking Mortgage Collections Tele sales Tele caller Investment Banking Technical Support Techincal Troubleshooting Desired Candidate Profile We are Hiring Candidates with Excellent Communication Should be flexible working in shifts fresher / Experience can Apply Relevant experience would be an added advantage Max salary Up to 7.5 lacks? Company Profile: Inspiration Manpower Consultancy Pvt. Ltd. Inspiration Manpower Consultancy, one of the fast growing end-to-end Recruitment & Staffing Solutions Consultants in India, was established in the year 2008; Inspiration Manpower provides a comprehensive, end-to-end recruitment solution that covers every need of the customer, throughout the recruitment cycle. Download PPT Photo 1 ? View Contact Details",1.31E+11,"Bengaluru, Chennai",Banking / Mortgage / Finance / Sales / Bpo / Call Centre / Associate /,700,"2,00,000 - 5,50,000 P.A. Incentives & Joining bonus",2016-10-13 16:20:56 +0000,,ITES,f7bfc22b96091daefc71f2eb47a56c33
Careernet Technologies Pvt Ltd hiring for Senior Developer (retail POS Development),UG: Any Graduate - Any Specialization PG:Any Postgraduate,5 - 8 yrs,IT-Software / Software Services,"Job Description ? Send me Jobs like this Designing and Developing POS Products / Applications in Windows Environment using Visual C/C++ & C# .NET. Works with Project Managers, Product Owners, Business Analysts to to understand business requirements, design, develop, in adherence to the predefined standard SDLC and architecture principles. Expected to be able to operate at a granular level -code/script/debug, model/document. Should be well-versed with designing concepts and design patterns. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills C++ C C#.Net Design Patterns pos development point of sale development pos developer Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Company Profile: Careernet Technologies Pvt Ltd Senior Developer (retail POS Development) Our client provides IT and Network Solutions to business enterprises, they also provide Product Development Solutions and Innovative software and support services and solutions. Download PPT Photo 1 ? View Contact Details",1.01E+11,Bengaluru,Senior Developer (retail POS Development),,Not Disclosed by Recruiter,2016-10-13 16:20:56 +0000,,IT Software - Application Programming,e4bbf295b486c69692b4cf3e848bac5e
Confidential,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,9 - 12 yrs,IT-Software / Software Services,"Job Description ? Send me Jobs like this - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. Must have : - Object Oriented JavaScript - Javascript - Angular.js - HTML 5 - CSS 2.1 and higher - JSON - Knowledge of JavaScript design patterns Job Responsibilities : - Interactive Development - Multi-Discipline interaction - IA / Creative - Provide insight and feedback to Information Architects and Designers for usability and feasibility of interface designs. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills HTML Javascript CSS JSON Java Design Patterns Usability Angular.js BackboneJS UnderscoreJS RequireJS Node.JS Desired Candidate Profile ? Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Confidential Confidential Download PPT Photo 1 ? View Contact Details",10816900754,"Delhi NCR, Bengaluru",Javascript Developer -oojs/angular/node/react - Html/css,,Not Disclosed by Recruiter,2016-10-13 16:20:56 +0000,,IT Software - Application Programming,057a1eba58d3518dcdfa0e0e54ba79ce
