year,organization group,job,salaries,overtime,other salaries,retirement,health and dental,other benefits
2013,Culture & Recreation,Library Page,17071.09,0,287.59,2335.61,0,1402.99
2013,Public Protection,Senior Clerk,54621.02,0,0,10732.9,12918.25,4424.95
2013,Culture & Recreation,Library Page,13856.93,0,121.42,97.07,4563.73,1103.94
2013,Culture & Recreation,Pool Lifeguard,1354.01,0,12.17,0,0,40.63
2013,Community Health,X-Ray Laboratory Aide,6268.58,0,30.21,0,1489.19,487.65
2013,"Public Works, Transportation & Commerce",Utility Plumber,103455.04,19898.91,4927.43,20424.19,12918.28,9515.11
2013,"Public Works, Transportation & Commerce",Transit Operator,59832.88,1844.52,350.29,16181.16,12121.98,4869.93
2013,Culture & Recreation,Stationary Engineer,69153.83,6047.36,13192.23,15404.83,11393.17,7312.2
2013,General Administration & Finance,Automotive Mechanic,73979.77,221.4,550,11444.72,12051.05,5824.89
2013,Community Health,Licensed Vocational Nurse,71148.6,12139.22,3521.2,12956.04,12851.03,6933.79
2013,"Public Works, Transportation & Commerce",Housekeeper/Food Service Clnr,16076.24,484.64,18.46,0,0,1309.77
2013,Human Welfare & Neighborhood Development,Emp & Training Spec 2,76596.01,0,624,14061.84,12801.79,6029.32
2013,"Public Works, Transportation & Commerce",Traffic Survey Technician,18851,0,0,4019.05,3349.15,1769.71
2013,Public Protection,Senior Deputy Sheriff,105738.12,1608.7,12386.34,21704.02,12918.24,2001.52
2013,Community Health,Special Nurse,89900.39,903.42,10468.6,0,8419.75,1683.29
2013,Public Protection,Police Officer,32119.8,523.23,0,5688.42,4628.34,2457.34
2013,Culture & Recreation,Animal Keeper,62015.53,2396.66,3098.53,11293.03,12749.48,5631.55
2013,"Public Works, Transportation & Commerce",Sheet Metal Worker,94978,3424.68,2195,17695.17,12801.76,8160.16
2013,Community Health,IS Programmer Analyst-Senior,95521.99,0,0,17394.58,12801.79,7865.5
2013,Public Protection,Chief Clerk,82728.01,0,0,16255.79,12918.24,6339.21
2013,Public Protection,Senior Deputy Sheriff,52102.56,17246.61,6236.03,11422.7,6596.68,179.7
2013,Human Welfare & Neighborhood Development,Eligibility Worker Supervisor,75460,0,1320,13981.55,12063.22,6126.47
2013,"Public Works, Transportation & Commerce",Transit Operator,49405.27,13321.25,3874.32,13644.79,10300.64,5241.41
2013,Public Protection,Lieutenant 3,78806.01,9594.59,14084.84,16335.94,6219.89,1688.61
2013,"Public Works, Transportation & Commerce",Utility Specialist,121585.96,0,4509.11,24192.67,12658.11,9402.62
2013,General Administration & Finance,Legislative Assistant,64060.93,0,0,8991.27,10524.55,5202.84
2013,Public Protection,Police Officer 2,105392.02,4620.67,16034.31,20443.49,12918.24,2098.92
2013,"Public Works, Transportation & Commerce","Stdntdsgntrain3, Arch/Eng/Plng",16039.8,0,0,0,3606.34,1241.81
2013,Community Health,Health Care Analyst,87028.51,0,0,17107.86,12918.24,7018.92
2013,"Public Works, Transportation & Commerce",Switch Repairer,64116.07,57414.85,4689.85,11958.44,12801.79,9730.73
2013,Public Protection,Fingerprint Technician 1,56798.41,316.43,930.15,11172.94,12918.26,4701.83
2013,Public Protection,Invstgtor Ofc Citizen Cmplnts,90963.04,0,648.01,18001.48,12918.24,7362.81
2013,Public Protection,Police Officer,50913.3,0,0,10345.12,7128.96,3807.97
2013,Community Health,Public Health Nurse,481.4,0,17.8,116.41,47.86,72.02
2013,"Public Works, Transportation & Commerce",Senior Clerk Typist,60102.11,0,610.95,11930.39,12918.24,5017.91
2013,Human Welfare & Neighborhood Development,Social Worker,55635.22,0,0,9765.79,13047.96,4275.71
2013,Community Health,Stationary Engineer,78473.5,3939.86,6075.95,16620.84,12918.24,7255.78
2013,Public Protection,Police Officer,8200.8,0,0,1452.37,1181.7,634.35
2013,Culture & Recreation,Head Park Patrol Officer,52116.27,0,1565.71,9755.46,9102.81,4498.44
2013,Culture & Recreation,Bldg & Grounds Patrol Officer,65170.8,962.55,3504.11,14010.04,12918.24,5732.51
2013,Human Welfare & Neighborhood Development,Medical Social Worker,19348,0,300,4188.94,3349.18,1566.89
2013,"Public Works, Transportation & Commerce",Publ Svc Aide-Asst To Prof,195.64,0,0,0,68.78,15.15
2013,General Administration & Finance,IS Engineer-Senior,124866.56,0,0,22113.93,12801.79,9833.19
2013,"Public Works, Transportation & Commerce",General Laborer Supervisor 1,69202,2176.33,1167.75,13832.85,12918.24,5628.57
2013,Public Protection,Deputy Court Clerk I,13879.5,0,0,0,2727.18,1103.42
2013,Community Health,Patient Care Assistant,65858,22142.29,4903.88,12106.37,12801.79,7405.08
2013,Community Health,Cashier 2,56472.05,0,0,10283.52,12801.79,4263.01
2013,Human Welfare & Neighborhood Development,Eligibility Worker,60834.44,2511.03,1420,12257.78,12891.58,5238.55
2013,Community Health,Registered Nurse,15328.39,0,554.91,3210.01,1666.08,1242.04
2013,Public Protection,Senior Deputy Sheriff,101088.05,42179.66,16301.96,22886.04,12801.79,2696.18
2013,"Public Works, Transportation & Commerce",Transit Car Cleaner,58189.9,6013.84,12397.8,12097.98,12655.19,6088.71
2013,Community Health,Porter,53191.82,308.1,1858.8,9800.29,12851.02,4617.63
2013,"Public Works, Transportation & Commerce",Asphalt Finisher Supervisor 1,87451.24,10386.77,10.8,17224.12,11905.69,7818.96
2013,Community Health,Food Service Worker,1384.15,1019.9,15.3,0,467.75,187.31
2013,"Public Works, Transportation & Commerce",Parking Control Officer,0,371.42,10190.84,0,0,808.95
2013,"Public Works, Transportation & Commerce",Custodian,53191.8,0,2913.4,9827.08,12851.02,4676.61
2013,Human Welfare & Neighborhood Development,Psychiatric Social Worker,54583.77,0,1430,11010.6,7774.87,4122.09
2013,Public Protection,Police Officer 3,123471.09,1271.86,8235.44,23519.65,12918.25,1382.57
2013,Public Protection,Police Officer 2,85196.01,5638.26,11179.72,15724.64,9090.62,1655.12
2013,Community Health,Stationary Engineer,2025.1,0,0,0,344.66,156.79
2013,Culture & Recreation,Custodian,5296.19,0,30.23,0,1510.12,412.37
2013,General Administration & Finance,Sr Payroll & Personnel Clerk,71162,7992.94,1616.54,12958.65,12801.79,6627.65
2013,Public Protection,Deputy Sheriff,85824.23,11741.05,12310.26,19214.72,12052.21,1286.33
2013,Public Protection,Publ Svc Aide-Asst To Prof,13584.47,0,0,0,4914.53,1051.71
2013,"Public Works, Transportation & Commerce",Transit Operator,55828.22,10601.53,1520.22,14676.03,11639.78,5753.8
2013,Public Protection,Deputy Court Clerk II,70416.16,0,0,13827.35,12878.48,5850.41
2013,Community Health,Registered Nurse,111820.24,52.54,19914.17,24187.52,11456.27,3295.48
2013,"Public Works, Transportation & Commerce",Electronic Maintenance Tech,101088,0,1749.6,17902.56,12801.79,8129.76
2013,Public Protection,Police Officer 3,124276.26,7032.23,23416.07,23647.22,12918.24,2629.3
2013,"Public Works, Transportation & Commerce",Eng/Arch/Landscape Arch Sr,70.65,0,0,12.51,6.15,1.45
2013,Public Protection,Community Police Services Aide,34120.33,307.9,5784.41,6860.26,7564.13,3297.4
2013,General Administration & Finance,Worker's Compensation Adjuster,73976.5,0,562.74,13573.69,11544.94,6052.72
2013,Community Health,Special Nurse,15221.13,0,1635.22,0,0,1331.65
2013,Public Protection,Sergeant 3,138313.75,17657.29,16367.67,24845.58,12832.57,2794.71
2013,"Public Works, Transportation & Commerce",Transit Car Cleaner,58603.64,42.75,6712.99,11392.89,12801.79,5200.58
2013,Culture & Recreation,Recreation Leader,3627.59,0,59.63,0,1527.91,285.46
2013,Community Health,Nurse Manager,159352.82,0,10351.85,31872.25,12125.92,10304.13
2013,"Public Works, Transportation & Commerce",Senior Clerk,40466.36,0,0,7917.45,9570.57,3397.78
2013,Public Protection,Deputy Sheriff,94389.16,14832.83,14863.93,20885.61,12782.54,2041.56
2013,Public Protection,Firefighter,111706.52,31098.55,18707.91,22366.79,15519.03,401.53
2013,Community Health,Porter,3057.01,0,344.1,563.24,738.57,291.32
2013,Community Health,Special Nurse,18971.05,0,764.62,461.61,1649.45,154.29
2013,"Public Works, Transportation & Commerce",Housing Inspector,104521.95,0,1479.97,18772.99,12654.08,8738.19
2013,Culture & Recreation,Librarian 2,76504.33,0,1050.78,14122.79,11158.48,5975.49
2013,Community Health,Special Nurse,3119.52,0,311.98,4540.5,0,2859.31
2013,Community Health,"Marriage, Family & Child Cnslr",42882.52,0,0,8430.68,6459.12,3420.3
2013,Public Protection,EMT/Paramedic/Firefighter,68838.4,1850.54,5078.56,12352.74,12604.83,1831.6
2013,Community Health,Clinical Pharmacist,161757.01,0,0,30976.26,12918.24,10171.42
2013,Human Welfare & Neighborhood Development,Protective Services Worker,88133.09,0,0,17342.44,12918.25,7282.91
2013,Community Health,Special Nurse,3838.5,0,3.54,1009.41,338.51,1198.64
2013,Community Health,Porter,54893.29,2554.37,2459.55,11516.74,12742.9,4663.1
2013,Public Protection,"Counselor, Log Cabin Ranch",11630.06,697.8,1065.96,0,2461.89,1036.93
2013,Public Protection,Administrative Analyst II,10829.85,0,0,2308.93,1638.7,860.97
2013,"Public Works, Transportation & Commerce",Electronic Maintenance Tech,15482.5,0,351.74,2779.78,1905.26,1379.24
2013,"Public Works, Transportation & Commerce",PS Aide To Prof,16928.07,414.13,0,0,5597.7,1342.63
2013,General Administration & Finance,IS Prg Analyst-Principal,108966.12,3901.88,0,19297.85,12801.79,9378.98
2013,"Public Works, Transportation & Commerce","Stationary Eng, Sewage Plant",97311.5,582.28,7298.47,20559.4,12918.24,8800.18
2013,"Public Works, Transportation & Commerce",Transit Operator,65411.01,9487.53,5500.74,18160.22,13637.72,5831.24
2013,Culture & Recreation,Public Service Trainee,184.32,0,0,0,107.65,14.27
2013,Community Health,Physician Specialist,99286.77,0,4050,19011.61,6376.77,8532.37
2013,Community Health,Stationary Engineer,78473.5,8878.21,11902.83,17763.62,12918.24,8314.45
2013,General Administration & Finance,"Brd Comm Mbr, M=$200/Mtg",8400,0,0,0,0,663.6
2013,Community Health,Porter,6250.55,0,403.67,0,1834.1,515.17
2013,Community Health,Registered Nurse,81657.8,0,1459.97,18459.08,7870.56,6726.23
2013,Community Health,Emergency Med Svcs Agency Spec,4067,0,0,702.39,492.38,327.35
2013,"Public Works, Transportation & Commerce",Transit Operator,66352.08,3341.57,320.91,18001.89,13442.74,5244.34
2013,Community Health,Special Nurse,31199.53,0,6049.88,0,0,2439.13
2013,Public Protection,Firefighter,83879.19,27413.45,11449.07,18037.64,15741.12,2137.42
2013,Public Protection,Sheriff's Cadet,38288.7,818.96,758.19,8685.6,12487.63,3168.5
2013,Public Protection,Deputy Sheriff,91121.87,3345.14,5081.21,18387.14,12918.25,1547.6
2013,"Public Works, Transportation & Commerce",Executive Secretary 2,79742.55,0,0,15675.28,12918.24,6061.98
2013,Public Protection,Deputy Court Clerk II,75512.75,0,1335.9,13864.17,12758.71,5800.13
2013,Community Health,Special Nurse,73471.08,139.61,19058.43,0,0,7320.87
2013,Community Health,Special Nurse,48144.03,0,2328.23,2208.58,0,9056.65
2013,Community Health,Occupational Therapist,14766.76,0,0,0,1834.57,1143.25
2013,"Public Works, Transportation & Commerce",Transit Operator,66381.94,200.88,2152.87,18519.85,13448.79,5143.31
2013,"Public Works, Transportation & Commerce",Truck Driver,68069.9,3277.58,1435.41,10645.36,12152.72,5852.2
2013,Community Health,Accountant II,15645.5,0,0,2849.02,3200.44,1249.67
2013,Culture & Recreation,Library Page,34919.66,0,215.46,7960.45,9210.22,2829.91
2013,"Public Works, Transportation & Commerce",Transit Operator,61449.73,22809.64,4159.47,16799.87,12811.82,6959.36
2013,"Public Works, Transportation & Commerce",Water Meter Shop Supervisor 1,60438.41,0,2785.47,12766.59,9425.53,4921.17
2013,General Administration & Finance,Asst Forensic Toxicologist 1,103323.62,0,0,18298.55,12788.87,8495.65
2013,"Public Works, Transportation & Commerce",Sewer Service Worker,84683.54,0,0,16653,12918.25,6760.17
2013,Community Health,Registered Nurse,118284.09,115.18,20385.98,25777.61,11377.29,9731.79
2013,"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",23543.6,0,0,0,6127.01,1722.02
2013,General Administration & Finance,Planner 3,26315.72,0,194.65,4792.07,3290.86,2180.1
2013,Community Health,Nurse Midwife,12222.45,0,0,0,0,965.57
2013,"Public Works, Transportation & Commerce",Landscape Architect,115520.38,0,0,20458.63,11650.88,9506.06
2013,Community Health,Senior Clerk,54621.02,0,1460,11021.17,12918.24,4533.26
2013,"Public Works, Transportation & Commerce",Transit Planner 2,90788.01,0,0,17901.17,12918.25,7475.51
2013,Community Health,Senior Clerk,60627.08,0,200,11040.25,12622.13,5083.94
2013,Community Health,Patient Care Assistant,60412.07,0,6925.41,12246.64,11411.12,5283.26
2013,General Administration & Finance,Management Assistant,50785.01,0,9175.43,9549.86,8372.94,4579
2013,Public Protection,Police Officer 3,124367.48,15863.86,1708.49,23663.5,12858.44,2393.49
2013,General Administration & Finance,Senior Account Clerk,63024.01,434.63,624,11590.28,12801.79,5241.85
2013,"Public Works, Transportation & Commerce",General Laborer Supervisor 1,64024.81,705.51,4597.26,13389.62,11957.51,5733.24
2013,Public Protection,Police Officer 2,83243.04,1369.36,8154.88,15364.02,9090.62,1537.98
2013,"Public Works, Transportation & Commerce",Transit Operator,61549.8,1595.28,676.36,16900.76,12469.81,4788.07
2013,Culture & Recreation,Library Assistant,36270.08,0,730.45,6737.8,8022.66,3050.29
2013,General Administration & Finance,"Manager,Employee Relations Div",141894.33,0,0,25129.43,12801.79,18322.36
2013,Community Health,Special Nurse,92004.54,0,12.55,0,9025.88,7123.97
2013,Public Protection,Deputy Sheriff,86797,27213.94,10047.09,18511.39,12918.24,2052.65
2013,Public Protection,Stationary Engineer,7423.71,0,433.45,0,1215.57,203.68
2013,"Public Works, Transportation & Commerce",Dep Dir III,116920.06,0,0,21574.41,9090.62,14548.51
2013,"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",23460.8,0,0,0,6105.47,1816.33
2013,Culture & Recreation,Custodian,53191.8,0,3641.9,10349.48,12851.03,4733.46
2013,Community Health,Special Nurse,2408.18,0,197.05,1952.19,203.1,0.06
2013,"Public Works, Transportation & Commerce",Electrician Supervisor 1,110782.35,11121.59,720,21362.42,12918.24,9451.12
2013,Culture & Recreation,Gardener,0,0,1921,0,0,146.95
2013,"Public Works, Transportation & Commerce",Electrician,91338.01,3029.98,15485.3,17009.61,12801.82,8522.06
2013,"Public Works, Transportation & Commerce",Airport Communications Disp,81717.54,9589.75,7041.97,16910.39,12882.36,8073.36
2013,"Public Works, Transportation & Commerce",Principal Clerk,10688,0,0,2278.68,1913.81,866.45
2013,Public Protection,Senior Deputy Sheriff,105760.21,6492.45,15645.65,22819.61,12918.25,2050.54
2013,Public Protection,Deputy Court Clerk III,34373.5,0,0,6259.45,5662.33,2792.28
2013,"Public Works, Transportation & Commerce",Eng/Arch/Landscape Arch Sr,153291.5,0,6666.2,30639.51,12918.27,10241.39
2013,"Public Works, Transportation & Commerce",General Laborer,59866.55,6282.85,1861.75,11240.74,12801.79,5421.03
2013,General Administration & Finance,Assistant Retirement Analyst,78354.04,0,648,15523.67,12918.24,6396.57
2013,Human Welfare & Neighborhood Development,Senior Eligibility Worker,69062.45,0,1500,13855.46,11890.28,5557.99
2013,"Public Works, Transportation & Commerce",Eng/Arch/Landscape Arch Sr,146952,0,0,26025.21,12801.79,9978.96
2013,Community Health,Registered Nurse,90495.39,1287.75,19531.63,19518.97,8994.14,9420.45
2013,"Public Works, Transportation & Commerce",Custodian,53803.2,0,2174.1,10669.67,12631.17,4624.7
2013,Community Health,IS Administrator 2,82212.03,0,0,14970.8,12801.79,7192.44
2013,Public Protection,Firefighter,112889.8,28739.56,16637.59,22126.47,15683.42,2671.06
2013,"Public Works, Transportation & Commerce",Executive Secretary 1,69472,0,564.01,12753.52,12801.78,5866.1
2013,"Public Works, Transportation & Commerce",Landscape Architect Assoc 1,68965.81,0,0,13787.94,10478.16,5169.22
2013,Public Protection,Public Safetycomm Disp,75857.44,28184.36,7141.31,15764.75,11174.34,9108.96
2013,General Administration & Finance,Testing Technician,904.5,76.32,0,0,246.19,75.93
2013,Public Protection,Public Safetycomm Disp,87665.55,4412.82,14168.76,19562.61,12913.76,8215.93
2013,Culture & Recreation,Library Technical Assistant 1,69390.75,0,1540.95,12916.67,12801.79,5928.92
2013,Public Protection,Police Officer 3,118898.26,6754.11,13373.7,21201.99,12801.79,2360.52
2013,Culture & Recreation,Recreation Leader,14535.81,0,349.78,0,5949.29,1152.44
2013,Community Health,Senior Clerk,24823.4,23.43,200,5996.82,7128.96,2045
2013,"Public Works, Transportation & Commerce",IS Project Director,146883.34,0,22718.49,28139.31,12918.24,10354.38
2013,Human Welfare & Neighborhood Development,Protective Services Worker,91702.08,3676.66,707.78,16812.64,12801.79,8032.25
2013,Community Health,Eligibility Worker,19658.35,608.82,1464.02,4342.96,4716.95,1719.93
2013,Community Health,Epidemiologist 2,96554.25,0,0,17582.54,12800.5,7641.18
2013,Community Health,Eligibility Worker,60070.56,7162.27,3640.56,11125.47,12638.69,5634.94
2013,Public Protection,Community Police Services Aide,12373.57,0,788.32,2396.78,2368.35,1049.99
2013,General Administration & Finance,Automotive Machinist Sprv 1,95133.51,8372.73,550,16945.57,12063.22,7888.87
2013,Community Health,Registered Nurse,100579.6,0,9364.06,17968.18,11429.29,7233.75
2013,Human Welfare & Neighborhood Development,Senior Eligibility Worker,72393.14,0,1785.2,13507.87,12826.41,6206.84
2013,Public Protection,Firefighter,25134.91,0,249.24,5270.65,4353.93,1780.03
2013,"Public Works, Transportation & Commerce",Plumber,98528.52,348.41,4111.86,20176.82,12918.25,7836.37
2013,Community Health,Registered Nurse,142425,0,250,29605.67,12918.24,9015.09
2013,"Public Works, Transportation & Commerce",Manager I,126766.21,0,0,22450.32,12801.79,16843.6
2013,Public Protection,"Lieutenant, Fire Suppression",135902.96,44278.12,15703.11,28682.8,15788.97,3329.01
2013,Community Health,Special Nurse,27176,0,4570.43,0,2590.64,2096.43
2013,"Public Works, Transportation & Commerce",Clerk Typist,0,0,1654.43,0,0,126.56
2013,Community Health,Occupational Therapist,4890.01,0,0,1018.1,574.14,378.59
2013,General City Responsibilities,Transit Operator,37274.01,5465.13,812.42,9747.52,7771.37,3421.54
2013,Public Protection,Community Police Services Aide,63250.02,10101.67,7837.72,12396.54,12801.78,6587.41
2013,Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,11001.75,0,245.24,0,5035.72,870.75
2013,Public Protection,"Counselor, Juvenile Hall",5402.26,0,312.83,0,0,451.5
2013,"Public Works, Transportation & Commerce",Chemist III,111774.05,0,0,19795.11,12801.79,9297.2
2013,Community Health,Registered Nurse,52888.95,0,9446.95,12285.98,5418.61,5149.2
2013,Public Protection,Police Officer 2,16876.75,666.19,124.91,2988.89,2338.79,1157.1
2013,Community Health,IS Administrator 2,50635.41,0,3567.61,10017.13,7655.25,4298.03
2013,"Public Works, Transportation & Commerce",Transit Operator,67548.86,8375.66,729.82,18425.62,13685.21,5893.63
2013,Public Protection,Deputy Sheriff,81285.13,2754.7,5754.63,17042.37,12819.7,1452.04
2013,Community Health,Special Nurse,2993.29,0,278.86,3014.75,0,1888.86
2013,Community Health,Health Worker 3,63811.8,0,631.8,12663.15,12595.29,5250.21
2013,Community Health,Registered Nurse,39761.64,0,4043.7,9147.2,3832.41,3374.47
2013,Public Protection,Deputy Sheriff,81397.33,10067.87,11672.29,18223.01,11426.09,1011.03
2013,Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,8389.41,0,0,0,3826.43,649.5
